44,44%,2%,30%,9%,1%,14%,5.33%,11.62%,0.4581
45,9%,17%,41%,12%,19%,2%,4.96%,9.42%,0.5260
46,32%,27%,0%,5%,3%,33%,3.26%,6.91%,0.4718
47,56%,20%,7%,1%,3%,13%,4.59%,12.20%,0.3758
48,26%,8%,33%,21%,1%,11%,4.79%,9.79%,0.4886
49,63%,4%,6%,4%,12%,11%,5.18%,13.38%,0.3871
50,54%,5%,2%,13%,16%,10%,4.78%,11.11%,0.4302
51,0%,1%,79%,17%,0%,3%,6.03%,16.65%,0.3622
52,20%,29%,13%,25%,7%,6%,3.64%,6.28%,0.5798
53,2%,0%,37%,23%,10%,28%,4.35%,9.16%,0.4741
54,6%,17%,21%,31%,10%,15%,3.66%,7.04%,0.5196
55,68%,7%,1%,0%,8%,16%,4.98%,14.40%,0.3455
56,17%,8%,46%,23%,5%,1%,5.21%,11.44%,0.4550
57,3%,2%,54%,18%,12%,11%,5.26%,12.00%,0.4382
58,21%,25%,15%,34%,2%,3%,3.70%,7.19%,0.5138
59,8%,27%,39%,1%,23%,2%,4.83%,8.48%,0.5697
60,30%,22%,24%,11%,12%,1%,4.71%,8.74%,0.5381
61,5%,5%,78%,5%,3%,4%,6.19%,15.71%,0.3940
62,44%,13%,2%,16%,14%,11%,4.30%,9.07%,0.4735
63,14%,37%,22%,14%,3%,10%,3.64%,6.49%,0.5605
64,24%,59%,7%,1%,2%,7%,3.08%,6.53%,0.4716
65,42%,6%,32%,20%,0%,0%,5.35%,11.80%,0.4534
66,0%,46%,9%,36%,3%,6%,2.49%,5.92%,0.4205
67,6%,77%,1%,7%,3%,6%,2.03%,4.23%,0.4799
68,15%,18%,10%,34%,4%,19%,3.30%,5.82%,0.5669
69,7%,3%,18%,34%,27%,11%,4.15%,7.27%,0.5705
70,6%,62%,10%,20%,1%,1%,2.56%,4.94%,0.5182
71,38%,3%,32%,6%,10%,11%,5.44%,10.89%,0.4992
72,2%,1%,48%,9%,13%,27%,4.91%,10.14%,0.4841
73,36%,5%,19%,8%,20%,12%,5.01%,9.08%,0.5510
74,22%,53%,3%,13%,7%,2%,3.04%,5.64%,0.5393
75,14%,16%,14%,35%,13%,8%,3.75%,6.58%,0.5688
76,16%,6%,18%,20%,34%,6%,4.63%,6.94%,0.6669
77,30%,17%,8%,9%,22%,14%,4.22%,7.07%,0.5966
78,7%,4%,22%,44%,20%,3%,4.18%,8.72%,0.4793
79,3%,3%,14%,69%,4%,7%,3.27%,10.21%,0.3203
80,5%,4%,31%,21%,39%,0%,5.01%,8.75%,0.5721
